DataID,temp1,temp2,ldr,heater,humidity1,humidity2,pump,TimeRead
19,33,0,0,0,0,0,0,12/6/2020 14:18
20,0,0,0,0,0,74,0,12/6/2020 14:18
21,0,21,0,0,0,0,0,12/6/2020 14:18
22,0,0,0,0,0,0,OFF,12/6/2020 14:18
23,0,0,0,0,33,0,0,12/6/2020 14:18
24,0,0,0,ON,0,0,0,12/6/2020 14:18
25,0,0,226,0,0,0,0,12/6/2020 14:18
26,0,23,0,0,0,0,0,12/6/2020 14:18
27,0,0,0,0,0,83,0,12/6/2020 14:18
28,30,0,0,0,0,0,0,12/6/2020 14:18
29,0,0,0,0,32,0,0,12/6/2020 14:18
30,0,20,0,0,0,0,0,12/6/2020 14:18
31,39,0,0,0,0,0,0,12/6/2020 14:18
32,0,0,0,0,0,79,0,12/6/2020 14:18
33,0,0,0,0,26,0,0,12/6/2020 14:18
34,0,0,865,0,0,0,0,12/6/2020 14:18
35,0,27,0,0,0,0,0,12/6/2020 14:18
36,34,0,0,0,0,0,0,12/6/2020 14:18
37,0,0,0,0,0,93,0,12/6/2020 14:18
38,0,0,0,0,32,0,0,12/6/2020 14:18
39,0,21,0,0,0,0,0,12/6/2020 14:18
40,33,0,0,0,0,0,0,12/6/2020 14:18
41,0,0,0,0,0,58,0,12/6/2020 14:18
42,0,0,0,0,37,0,0,12/6/2020 14:18
43,0,0,0,0,0,0,OFF,12/6/2020 14:18
44,0,0,0,OFF,0,0,0,12/6/2020 14:18
45,0,27,0,0,0,0,0,12/6/2020 14:18
46,32,0,0,0,0,0,0,12/6/2020 14:18
47,0,0,0,0,0,74,0,12/6/2020 14:18
48,0,0,0,0,48,0,0,12/6/2020 14:18
49,0,0,56,0,0,0,0,12/6/2020 14:18
50,0,20,0,0,0,0,0,12/6/2020 14:18
51,31,0,0,0,0,0,0,12/6/2020 14:18
52,0,0,0,0,0,71,0,12/6/2020 14:18
53,0,0,0,0,5,0,0,12/6/2020 14:18
54,0,24,0,0,0,0,0,12/6/2020 14:18
55,36,0,0,0,0,0,0,12/6/2020 14:18
56,0,0,0,0,0,56,0,12/6/2020 14:18
57,0,0,0,0,55,0,0,12/6/2020 14:18
58,0,24,0,0,0,0,0,12/6/2020 14:19
59,36,0,0,0,0,0,0,12/6/2020 14:19
60,0,0,0,0,0,100,0,12/6/2020 14:19
61,0,0,0,0,38,0,0,12/6/2020 14:19
62,0,0,731,0,0,0,0,12/6/2020 14:19
63,0,21,0,0,0,0,0,12/6/2020 14:19
64,35,0,0,0,0,0,0,12/6/2020 14:19
65,0,0,0,0,0,90,0,12/6/2020 14:19
66,0,0,0,0,39,0,0,12/6/2020 14:19
67,0,0,0,0,0,0,ON,12/6/2020 14:19
68,0,0,0,ON,0,0,0,12/6/2020 14:19
69,0,24,0,0,0,0,0,12/6/2020 14:19
70,33,0,0,0,0,0,0,12/6/2020 14:19
71,0,0,0,0,0,54,0,12/6/2020 14:19
72,0,0,0,0,52,0,0,12/6/2020 14:19
73,0,27,0,0,0,0,0,12/6/2020 14:19
74,33,0,0,0,0,0,0,12/6/2020 14:19
75,0,0,0,0,0,58,0,12/6/2020 14:19
76,0,0,0,0,16,0,0,12/6/2020 14:19
77,0,0,39,0,0,0,0,12/6/2020 14:19
78,0,30,0,0,0,0,0,12/6/2020 14:19
79,37,0,0,0,0,0,0,12/6/2020 14:19
80,0,0,0,0,0,90,0,12/6/2020 14:19
81,0,0,0,0,25,0,0,12/6/2020 14:19
82,0,26,0,0,0,0,0,12/6/2020 14:19
83,31,0,0,0,0,0,0,12/6/2020 14:19
84,0,0,0,0,0,84,0,12/6/2020 14:19
85,0,0,0,0,39,0,0,12/6/2020 14:19
86,0,24,0,0,0,0,0,12/6/2020 14:19
87,40,0,0,0,0,0,0,12/6/2020 14:19
88,0,0,0,0,0,58,0,12/6/2020 14:19
89,0,0,0,0,47,0,0,12/6/2020 14:19
90,0,0,0,0,0,0,OFF,12/6/2020 14:19
91,0,0,0,OFF,0,0,0,12/6/2020 14:19
92,0,0,863,0,0,0,0,12/6/2020 14:19
93,0,28,0,0,0,0,0,12/6/2020 14:19
94,31,0,0,0,0,0,0,12/6/2020 14:19
95,0,0,0,0,0,45,0,12/6/2020 14:19
96,0,0,0,0,58,0,0,12/6/2020 14:19
97,0,21,0,0,0,0,0,12/6/2020 14:19
98,38,0,0,0,0,0,0,12/6/2020 14:19
99,0,0,0,0,21,0,0,12/6/2020 14:19
100,0,0,0,0,0,96,0,12/6/2020 14:19
101,0,24,0,0,0,0,0,12/6/2020 14:19
102,32,0,0,0,0,0,0,12/6/2020 14:19
103,0,0,0,0,58,0,0,12/6/2020 14:19
104,0,0,0,0,0,92,0,12/6/2020 14:19
105,0,0,205,0,0,0,0,12/6/2020 14:19
106,0,24,0,0,0,0,0,12/6/2020 14:19
107,38,0,0,0,0,0,0,12/6/2020 14:19
108,0,0,0,0,23,0,0,12/6/2020 14:19
109,0,0,0,0,0,80,0,12/6/2020 14:19
